Niveau,Onderwijsstructuur,Soort,Indeling,Indelingstype,Type onderwijsdoel,Titel 1,Titel 2,Titel 3,Nummer / Code,Onderwijsdoel,Attitudinaal,Geldig vanaf,Id,Onderwijsniveau_id,Verwant leergebied,Verwant subdomein,Verwant thema
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Spreken,,11,"De leerlingen kunnen volgende taken kopiërend uitvoeren: vooraf beluisterde en/of gelezen informatieve, prescriptieve, narratieve en artistiek-literaire
teksten luidop lezen.
In teksten met de volgende kenmerkenOnderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-met en zonder visuele ondersteuning

Structuur/samenhang/lengte
-korte enkelvoudige zinnen en eenvoudig samengestelde zinnen met de meest frequente verbindingswoorden
-elementaire tekststructuur
-zeer korte teksten

Uitspraak, articulatie, intonatie
-met aanzet tot heldere uitspraak, zorgvuldige articulatie en natuurlijke intonatie
-standaardtaalTempo en vlotheid
-met eventuele herhalingen en langere onderbrekingen
-langzaam tempo

Woordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-11,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-spreken,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Spreken,,12,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: met een vorm van ondersteuning informatieve en narratieve teksten in een vorm van opsomming navertellen.
In teksten met de volgende kenmerkenOnderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-met en zonder visuele ondersteuning

Structuur/samenhang/lengte
-korte enkelvoudige zinnen en eenvoudig samengestelde zinnen met de meest frequente verbindingswoorden
-elementaire tekststructuur
-zeer korte teksten

Uitspraak, articulatie, intonatie
-met aanzet tot heldere uitspraak, zorgvuldige articulatie en natuurlijke intonatie
-standaardtaalTempo en vlotheid
-met eventuele herhalingen en langere onderbrekingen
-langzaam tempo

Woordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-12,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-spreken,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Spreken,,13,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: met een vorm van ondersteuning een gebeurtenis, een verhaal, iets of iemand in de vorm van een opsomming beschrijven.
In teksten met de volgende kenmerkenOnderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-met en zonder visuele ondersteuning

Structuur/samenhang/lengte
-korte enkelvoudige zinnen en eenvoudig samengestelde zinnen met de meest frequente verbindingswoorden
-elementaire tekststructuur
-zeer korte teksten

Uitspraak, articulatie, intonatie
-met aanzet tot heldere uitspraak, zorgvuldige articulatie en natuurlijke intonatie
-standaardtaalTempo en vlotheid
-met eventuele herhalingen en langere onderbrekingen
-langzaam tempo

Woordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-13,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-spreken,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Spreken,,14,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: gebruik maken van elementaire omgangsvormen en beleefdheidsconventies.
In teksten met de volgende kenmerkenOnderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-met en zonder visuele ondersteuning

Structuur/samenhang/lengte
-korte enkelvoudige zinnen en eenvoudig samengestelde zinnen met de meest frequente verbindingswoorden
-elementaire tekststructuur
-zeer korte teksten

Uitspraak, articulatie, intonatie
-met aanzet tot heldere uitspraak, zorgvuldige articulatie en natuurlijke intonatie
-standaardtaalTempo en vlotheid
-met eventuele herhalingen en langere onderbrekingen
-langzaam tempo

Woordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-14,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-spreken,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Spreken,,15,"De leerlingen passen indien nodig volgende strategieën toe:
-zich blijven concentreren ondanks het feit dat ze niet alles kunnen uitdrukken;
-het spreekdoel bepalen;
-gebruik maken van ondersteunende lichaamstaal;
-gebruik maken van ondersteunend visueel materiaal.In teksten met de volgende kenmerkenOnderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-met en zonder visuele ondersteuning

Structuur/samenhang/lengte
-korte enkelvoudige zinnen en eenvoudig samengestelde zinnen met de meest frequente verbindingswoorden
-elementaire tekststructuur
-zeer korte teksten

Uitspraak, articulatie, intonatie
-met aanzet tot heldere uitspraak, zorgvuldige articulatie en natuurlijke intonatie
-standaardtaalTempo en vlotheid
-met eventuele herhalingen en langere onderbrekingen
-langzaam tempo

Woordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-15,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-spreken,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Mondelinge interactie,,16,"De leerlingen kunnen volgende taken uitvoeren:
deelnemen aan een gesprek door:
-vragen, antwoorden en uitspraken te begrijpen;
-erop te reageren;
-zelf vragen te stellen, antwoorden te geven en uitspraken te doen.
In teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-met en zonder visuele ondersteuning

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente verbindingswoorden
-elementaire tekststructuur
-zeer korte teksten

Uitspraak, articulatie, intonatie
-met een aanzet tot heldere uitspraak, zorgvuldige articulatie en natuurlijke intonatie
-standaardtaalTempo en vlotheid
-met eventuele herhalingen en langere onderbrekingen
-langzaam tempo
Woordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-16,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-mondelinge-interactie,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Mondelinge interactie,,17,"De leerlingen kunnen volgende taken uitvoeren:
gebruik maken van elementaire omgangsvormen en beleefdheidsconventies.
In teksten met de volgende kenmerkenOnderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-met en zonder visuele ondersteuning

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente verbindingswoorden
-elementaire tekststructuur
-zeer korte teksten

Uitspraak, articulatie, intonatie
-met een aanzet tot heldere uitspraak, zorgvuldige articulatie en natuurlijke intonatie
-standaardtaalTempo en vlotheid
-met eventuele herhalingen en langere onderbrekingen
-langzaam tempo
Woordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-17,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-mondelinge-interactie,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Mondelinge interactie,,18,"De leerlingen passen indien nodig volgende strategieën toe:
-zich blijven concentreren ondanks het feit dat ze niet alles begrijpen of kunnen
uitdrukken;
-het doel van de interactie bepalen;
-gebruik maken van lichaamstaal;
-vragen om langzamer te spreken, iets te herhalen, iets aan te wijzen;
-te kennen geven dat ze iets niet begrepen hebben.
In teksten met de volgende kenmerkenOnderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-met en zonder visuele ondersteuning

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente verbindingswoorden
-elementaire tekststructuur
-zeer korte teksten

Uitspraak, articulatie, intonatie
-met een aanzet tot heldere uitspraak, zorgvuldige articulatie en natuurlijke intonatie
-standaardtaalTempo en vlotheid
-met eventuele herhalingen en langere onderbrekingen
-langzaam tempo
Woordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-18,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-mondelinge-interactie,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Schrijven,,19,"De leerlingen kunnen volgende taken kopiërend uitvoeren: een tekst foutloos overschrijven.
In teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties

Structuur/samenhang/lengte
-korte enkelvoudige zinnen
-elementaire tekststructuur
-zeer korte teksten

Uitspraak, articulatie, intonatie

Tempo en vlotheid

Woordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-19,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-schrijven,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Schrijven,,20,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: een tekst aanvullen met gegeven woorden.
In teksten met de volgende kenmerkenOnderwerp
-concreet
-eigen leefwereld en dagelijks levenTaalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituatiesStructuur/samenhang/lengte
-korte enkelvoudige zinnen
-elementaire tekststructuur
-zeer korte tekstenUitspraak, articulatie, intonatieTempo en vlotheidWoordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-20,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-schrijven,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Schrijven,,21,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: aan de hand van aangereikte bouwstenen een tekst samenstellen.
In teksten met de volgende kenmerkenOnderwerp
-concreet
-eigen leefwereld en dagelijks levenTaalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituatiesStructuur/samenhang/lengte
-korte enkelvoudige zinnen
-elementaire tekststructuur
-zeer korte tekstenUitspraak, articulatie, intonatieTempo en vlotheidWoordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-21,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-schrijven,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Schrijven,,22,"De leerlingen passen indien nodig volgende strategieën toe:
-zich blijven concentreren op de schrijftaak;
-het schrijfdoel bepalen;
-de eigen tekst nakijken.
In teksten met de volgende kenmerkenOnderwerp
-concreet
-eigen leefwereld en dagelijks levenTaalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituatiesStructuur/samenhang/lengte
-korte enkelvoudige zinnen
-elementaire tekststructuur
-zeer korte tekstenUitspraak, articulatie, intonatieTempo en vlotheidWoordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-22,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-schrijven,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,Kennis en attitudes,,,25,"De leerlingen werken aan de volgende attitudes: tonen bereidheid en durf om te luisteren, te lezen, te spreken, gesprekken te voeren en te schrijven in het Frans.",Ja,31/08/2006,basis-lager-frans-25,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,,
