Niveau,Soort,Graad,Stroom,Sleutelcompetentie,Type onderwijsdoel,Type onderdeel,Onderdeel,Nummer / Code,Onderwijsdoel,Attitudinaal,Feitenkennis,Conceptuele kennis,Procedurele kennis,Metacognitieve kennis,Context,Tekstkenmerken,Cognitieve dimensie,Affectieve dimensie,Psychomotorische dimensie,Geldig vanaf,Geldig tot,Id,Onderwijsniveau_id,Verwante sleutelcompetentie,Verwante bouwsteen
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,De wederzijdse invloed tussen maatschappelijke domeinen en ontwikkelingen en de impact ervan op de (globale) samenleving en het individu kritisch benaderen.,7.11,De leerlingen handelen duurzaam in een schoolse context.,Ja,,,,,,,,,,31/08/2015,,sec-7.11-1223351942,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-maatschappijkritisch-denken
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,De wederzijdse invloed tussen maatschappelijke domeinen en ontwikkelingen en de impact ervan op de (globale) samenleving en het individu kritisch benaderen.,7.12,De leerlingen lichten de complexiteit en verwevenheid van duurzaamheidskwesties toe.,Nee,,"'- Duurzame ontwikkeling op het vlak van consumptie, energie, mobiliteit
- Oorzaak-gevolg relaties
- Onderscheid geheel-onderdeel binnen systemen
- Verschillende perspectieven (3 P's: planet, profit, people) op duurzaamheidskwesties",,,,,beheersingsniveau begrijpen,"Reageren op opvattingen, gedrag, gebeurtenissen, informatie, taken, strategieën,…",,31/08/2015,,sec-7.12-1894447322,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-maatschappijkritisch-denken
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,De wederzijdse invloed tussen maatschappelijke domeinen en ontwikkelingen en de impact ervan op de (globale) samenleving en het individu kritisch benaderen.,7.13,De leerlingen verklaren de impact van globale uitdagingen van duurzame ontwikkeling op het lokale niveau.,Nee,,"'- Duurzame ontwikkeling
- Oorzaak-gevolg relaties
- Onderscheid geheel - onderdeel binnen systemen
- Verschillende perspectieven (3 P's: planet, profit, people) op duurzaamheidskwesties",,'- Kritische reflectie over duurzaamheidskwesties,,,beheersingsniveau begrijpen,"Reageren op opvattingen, gedrag, gebeurtenissen, informatie, taken, strategieën,…",,31/08/2015,,sec-7.13-4209228353,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-maatschappijkritisch-denken
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,De wederzijdse invloed tussen maatschappelijke domeinen en ontwikkelingen en de impact ervan op de (globale) samenleving en het individu kritisch benaderen.,7.14,De leerlingen illustreren wederzijdse beïnvloeding tussen maatschappelijke domeinen.,Nee,,"'- Interactie tussen maatschappelijke domeinen (politiek, sociaal, economisch en cultureel)",,,,,beheersingsniveau begrijpen,"Reageren op opvattingen, gedrag, gebeurtenissen, informatie, taken, strategieën,…",,31/08/2015,,sec-7.14-3884972116,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-maatschappijkritisch-denken
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,"Democratische besluitvorming op lokaal, nationaal en internationaal niveau duiden",7.15,"De leerlingen lichten wijzen van vertegenwoordiging, deelname aan macht en democratische besluitvorming toe voor zover deze relevant zijn voor hun eigen leefwereld.",Nee,"'- Bestuursniveaus: gemeente, provincie, gemeenschappen en gewesten met inbegrip van de Vlaamse, België en Europese Unie","'- Principes van verkiezingen, vertegenwoordiging en bestuur en de onderlinge relatie 
- Principes van democratische besluitvorming en bestuur",,,"'◦ Relevant voor eigen leefwereld zoals, afhankelijk van de actualiteit, op niveau van gemeente, gewest, land, Europa, wereld",,beheersingsniveau begrijpen,,,31/08/2015,,sec-7.15-2981784602,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-politiek
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,Democratische principes en democratische cultuur kaderen binnen de moderne rechtsstaat.,7.16,"De leerlingen komen op voor de eerbiediging van de rechten van de mens en het kind en voor sociale rechtvaardigheid, voor zover het relevant is voor hun eigen leefwereld.",Ja,,,,,,,,,,31/08/2015,,sec-7.16-148744069,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-democratie-en-mensenrechten
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,Democratische principes en democratische cultuur kaderen binnen de moderne rechtsstaat.,7.17,De leerlingen lichten het belang van mensen- en kinderrechten toe.,Nee,,"'- Mensenrechten
- Kinderrechten
- Sociale rechtvaardigheid
- Schendingen van mensen- en kinderrechten zoals kinderen in armoede, kindsoldaten, kinderarbeid
- Relevante organisaties en instellingen zoals kinderrechtencommissariaat, mensenrechtenorganisaties",,,"'◦ Referentiekaders ""Universele Verklaring van de Rechten van de Mens"" en ""Kinderrechtenverdrag""",,beheersingsniveau begrijpen,"Voorkeur tonen voor en belang hechten aan waarden, opvattingen, gedragingen, gebeurtenissen, informatie, taken, strategieën,…",,31/08/2015,,sec-7.17-3301302652,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-democratie-en-mensenrechten
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,Democratische principes en democratische cultuur kaderen binnen de moderne rechtsstaat.,7.18,"De leerlingen onderscheiden het samenleven in een democratie van het samenleven onder andere regimes.

Ze appreciëren het samenleven in een democratie en de principes waarop ze in Vlaanderen gebaseerd is.",Ja,"'- Democratie
- Rechtsstaat","'- Democratie
- Rechtsstaat
- Democratische principes, zoals vrijheid- en gelijkheidsbeginsel
- Onderscheid tussen democratie en autoritaire regimes",,,"'◦ Referentiekader ""Competences for democratic culture"" - Raad van Europa",,beheersingsniveau analyseren,,,31/08/2015,,sec-7.18-2215290226,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-democratie-en-mensenrechten
Secundair onderwijs,Gewoon,1ste graad,A-stroom,3. Competenties in andere talen,Eindtermen,Bouwsteen,"Vreemde talen receptief, productief en interactief, zowel mondeling als schriftelijk gebruiken als communicatiemiddelen in relevante situaties.",3.1,"De leerlingen zijn gemotiveerd voor taal m.i.v. cultuur, lezen, spreken, schrijven, luisteren en inzicht in het taalsysteem.",Ja,,,,,,,,,,31/08/2015,,sec-3.1-2845304355,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-andere-talen,http://ilearn.ilabt.imec.be/vocab/curr1/s-1-communicatie
Secundair onderwijs,Gewoon,1ste graad,A-stroom,3. Competenties in andere talen,Eindtermen,Bouwsteen,"Vreemde talen receptief, productief en interactief, zowel mondeling als schriftelijk gebruiken als communicatiemiddelen in relevante situaties.",3.2,De leerlingen bepalen het onderwerp en de globale inhoud van geschreven en gesproken teksten in functie van doelgerichte communicatie.,Nee,"'- Woordenschat: elementair repertoire bestaande uit frequente woorden, woordcombinaties en vaste uitdrukkingen","'- Tekststructuur, titels, benadrukte woorden, lay-out, afbeeldingen, structuuraanduiders (signaalwoorden en verwijswoorden)","'- Strategieën: tekststructuur, structuuraanduiders, titels en benadrukte woorden herkennen, rekening houden met lees- en luisterdoel, voorkennis activeren, visuele ondersteunende elementen gebruiken, inhoud voorspellen, vragen stellen, de vermoedelijke betekenis van onbekende woorden afleiden uit de context, de vermoedelijke betekenis van onbekende woorden afleiden via taalverwantschap, talige hulpmiddelen gebruiken
- Functioneel gebruik van elementen uit eindterm 3.7",,,"'* Eenvoudige, herkenbare tekststructuur
* Lage informatiedichtheid
* Elementaire woordenschat bestaande uit hoofdzakelijk frequente woorden, woordcombinaties en vaste uitdrukkingen
* Grote samenhang
* Concrete inhoud
* Eenvoudige zinsbouw 
* Beperkte lengte
* Tekstsoorten: informatief, opiniërend, prescriptief en narratief
(bijkomend voor schriftelijke receptie)
* Duidelijke lay-out
(bijkomend voor mondelinge receptie)
* Geen of weinig achtergrondruis
* Normaal spreektempo met pauzes
* Ondersteunende maar natuurlijke intonatie
* Heldere uitspraak, duidelijke articulatie
* Eventueel met visuele ondersteuning
* Eventueel met ondersteuning van non-verbaal gedrag",beheersingsniveau analyseren,,,31/08/2015,,sec-3.2-1695774186,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-andere-talen,http://ilearn.ilabt.imec.be/vocab/curr1/s-1-communicatie
Secundair onderwijs,Gewoon,1ste graad,A-stroom,3. Competenties in andere talen,Eindtermen,Bouwsteen,"Vreemde talen receptief, productief en interactief, zowel mondeling als schriftelijk gebruiken als communicatiemiddelen in relevante situaties.",3.3,De leerlingen bepalen wat de hoofdgedachte en de hoofdpunten zijn in geschreven en gesproken teksten in functie van doelgerichte communicatie.,Nee,"'- Woordenschat: elementair repertoire bestaande uit frequente woorden, woordcombinaties en vaste uitdrukkingen","'- Tekststructuur, titels, benadrukte woorden, lay-out, afbeeldingen, structuuraanduiders (signaalwoorden en verwijswoorden)","'- Strategieën: tekststructuur, structuuraanduiders, titels en benadrukte woorden herkennen, rekening houden met lees- en luisterdoel, voorkennis activeren, visuele ondersteunende elementen gebruiken, inhoud voorspellen, vragen stellen, hoofd- en bijzaken onderscheiden, de vermoedelijke betekenis van onbekende woorden afleiden uit de context, de vermoedelijke betekenis van onbekende woorden afleiden via taalverwantschap, talige hulpmiddelen gebruiken, gedachtegang reconstrueren
- Functioneel gebruik van elementen uit eindterm 3.7",,,"'* Eenvoudige, herkenbare tekststructuur
* Lage informatiedichtheid
* Elementaire woordenschat bestaande uit hoofdzakelijk frequente woorden, woordcombinaties en vaste uitdrukkingen
* Grote samenhang
* Concrete inhoud
* Eenvoudige zinsbouw 
* Beperkte lengte
* Tekstsoorten: informatief, opiniërend, prescriptief en narratief
(bijkomend voor schriftelijke receptie)
* Duidelijke lay-out
(bijkomend voor mondelinge receptie)
* Geen of weinig achtergrondruis
* Normaal spreektempo met pauzes
* Ondersteunende maar natuurlijke intonatie
* Heldere uitspraak, duidelijke articulatie
* Eventueel met visuele ondersteuning
* Eventueel met ondersteuning van non-verbaal gedrag",beheersingsniveau analyseren,,,31/08/2015,,sec-3.3-1620863661,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-andere-talen,http://ilearn.ilabt.imec.be/vocab/curr1/s-1-communicatie
Secundair onderwijs,Gewoon,1ste graad,A-stroom,3. Competenties in andere talen,Eindtermen,Bouwsteen,"Vreemde talen receptief, productief en interactief, zowel mondeling als schriftelijk gebruiken als communicatiemiddelen in relevante situaties.",3.4,De leerlingen selecteren relevante informatie in geschreven en gesproken teksten in functie van doelgerichte communicatie.,Nee,"'- Woordenschat: elementair repertoire bestaande uit frequente woorden, woordcombinaties en vaste uitdrukkingen","'- Tekststructuur, titels, benadrukte woorden, lay-out, afbeeldingen, structuuraanduiders (signaalwoorden en verwijswoorden)","'- Strategieën: tekststructuur, structuuraanduiders, titels en benadrukte woorden herkennen, rekening houden met lees- en luisterdoel, voorkennis activeren, visuele ondersteunende elementen gebruiken, inhoud voorspellen, vragen stellen, de vermoedelijke betekenis van onbekende woorden afleiden uit de context, de vermoedelijke betekenis van onbekende woorden afleiden via taalverwantschap, talige hulpmiddelen gebruiken
- Functioneel gebruik van elementen uit eindterm 3.7",,,"'* Eenvoudige, herkenbare tekststructuur
* Lage informatiedichtheid
* Elementaire woordenschat bestaande uit hoofdzakelijk frequente woorden, woordcombinaties en vaste uitdrukkingen
* Grote samenhang
* Concrete inhoud
* Eenvoudige zinsbouw 
* Beperkte lengte
* Tekstsoorten: informatief, opiniërend, prescriptief en narratief
(bijkomend voor schriftelijke receptie)
* Duidelijke lay-out
(bijkomend voor mondelinge receptie)
* Geen of weinig achtergrondruis
* Normaal spreektempo met pauzes
* Ondersteunende maar natuurlijke intonatie
* Heldere uitspraak, duidelijke articulatie
* Eventueel met visuele ondersteuning
* Eventueel met ondersteuning van non-verbaal gedrag",beheersingsniveau analyseren,,,31/08/2015,,sec-3.4-2763685411,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-andere-talen,http://ilearn.ilabt.imec.be/vocab/curr1/s-1-communicatie
Secundair onderwijs,Gewoon,1ste graad,A-stroom,3. Competenties in andere talen,Eindtermen,Bouwsteen,"Vreemde talen receptief, productief en interactief, zowel mondeling als schriftelijk gebruiken als communicatiemiddelen in relevante situaties.",3.5,De leerlingen produceren schriftelijke en mondelinge teksten in functie van doelgerichte communicatie.,Nee,"'- Woordenschat: elementair repertoire bestaande uit frequente woorden, woordcombinaties en vaste uitdrukkingen die toelaten te voldoen aan elementaire communicatiebehoeften","'- Tekststructuur, titels, benadrukte woorden, lay-out, afbeeldingen, structuuraanduiders (signaalwoorden en verwijswoorden)
- Effecten van non-verbaal gedrag (mondelinge productie)
- Taalgedragsconventies en registers","'- Strategieën: tekststructuur, lay-out, structuuraanduiders, titels en benadrukte woorden gebruiken, rekening houden met spreek- en schrijfdoel, voorkennis activeren, rekening houden met ontvanger (zoals het gepast inzetten van lichaamstaal), talige hulpmiddelen gebruiken
- Gebruik van taalgedragsconventies en registers
- Functioneel gebruik van elementen uit eindterm 3.7",,,"'* Verzorgd taalgebruik met aandacht voor adequaatheid, vormcorrectheid en vlotheid
* Beheersing van een elementair lexicaal repertoire bestaande uit frequente woorden, woordcombinaties en vaste uitdrukkingen die volstaan om te voldoen aan elementaire communicatiebehoeften 
* Beheersing van bepaalde eenvoudige grammaticale constructies, ondanks het stelselmatig maken van elementaire fouten; begrip van boodschap door ontvanger komt meestal niet in het gedrang
* Gebruik van hoogfrequente signaalwoorden (chronologisch verloop, opsomming, oorzaak en tegenstelling)
* Eenvoudige, gepaste tekststructuur 
* Redelijk herkenbare samenhang
* Concrete inhoud
* Gepast register (afgestemd op doel en doelpubliek)
* Beperkte lengte
* Tekstsoorten: informatief, opiniërend en prescriptief
(bijkomend voor schriftelijke productie)
* Duidelijke, gepaste lay-out
* Redelijk correcte orthografische beheersing van frequente woorden uit het aangeleerde lexicale repertoire
(bijkomend voor mondelinge productie)
* Gepaste, niet storende lichaamstaal
* Uitspraak is over het algemeen voldoende helder om te worden verstaan ondanks een duidelijk accent, maar gesprekspartners zullen regelmatig om herhaling moeten vragen
* Vrij gemakkelijk gebruik van frequente woorden, woordcombinaties en vaste uitdrukkingen, ondanks duidelijke aarzelingen en valse starts",beheersingsniveau creëren,,,31/08/2015,,sec-3.5-645610460,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-andere-talen,http://ilearn.ilabt.imec.be/vocab/curr1/s-1-communicatie
Secundair onderwijs,Gewoon,1ste graad,A-stroom,3. Competenties in andere talen,Eindtermen,Bouwsteen,"Vreemde talen receptief, productief en interactief, zowel mondeling als schriftelijk gebruiken als communicatiemiddelen in relevante situaties.",3.6,De leerlingen nemen deel aan schriftelijke en mondelinge interactie in functie van doelgerichte communicatie.,Nee,'- Zie opsomming bij eindtermen 3.2 t.e.m. 3.5,'- Zie opsomming bij eindtermen 3.2 t.e.m. 3.5,"'- Strategieën (bijkomend  t.o.v. de strategieën opgesomd bij eindtermen 3.2 t.e.m. 3.5): rekening houden met doel interactie, inspelen op wat de ander zegt of schrijft, vragen om hulp/opheldering (zoals trager spreken, herhalen, herformuleren) en zelf hulp/opheldering bieden, elementen van lichaamstaal en intonatie herkennen en zelf doelgericht inzetten
- Zie opsomming bij eindtermen 3.2 t.e.m. 3.5",,,"'* Zie opsomming bij eindtermen 3.2 t.e.m. 3.5  
* Gebruik van alledaagse taalgedragsconventies (aanspreken, begroeten, afscheid nemen, voorstellen, bedanken, uitnodigen, zich verontschuldigen, reageren op verontschuldigingen) om zeer korte sociale contacten te leggen
(bijkomend voor mondelinge interactie)
* De communicatie is afhankelijk van herhaling (in trager tempo), herformulering en herstel; de bekwaamheid om zelfstandig het gesprek gaande te houden is niet vereist",beheersingsniveau creëren,,,31/08/2015,,sec-3.6-1060621424,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-andere-talen,http://ilearn.ilabt.imec.be/vocab/curr1/s-1-communicatie
